iterations,metric_value
0,-1.80123
1,-1.83315
2,-1.90026
3,-1.97811
4,-2.05165
5,-2.16907
6,-2.3337
7,-2.50102
8,-2.63384
9,-2.69913
10,-2.74368
11,-2.76626
12,-2.3983
13,-2.70818
14,-2.56371
15,-2.72405
16,-2.74046
17,-2.76307
18,-2.74945
19,-2.76642
20,-2.76864
21,-2.75925
22,-2.76638
23,-2.76853
0,-2.31869
1,-1.99731
2,-2.18591
3,-2.13779
4,-2.27395
5,-2.21397
6,-2.298
7,-2.31499
8,-2.30488
9,-2.32031
10,-2.32544
11,-2.32625
12,-2.32635
13,-2.32654
14,-2.32662
15,-2.32681
16,-2.3268
17,-2.32698
18,-2.31881
19,-2.32507
20,-2.32706
21,-2.32686
NumberOfIterations = 23
FinalDisplacement = 14.9418
DisplacementError = 0.0581859
FinalAngle = 0
AngleError = -0.0361296
